voter_id,full_name,email,age,gender,state,district,phone
UP0000000001,Ritu Malhotra,ritumalhotra1@gmail.com,26,F,UP,Adilabad,9670956088
TG0000000002,Lalit Mishra,lalitmishra2@gmail.com,19,M,TG,Kurnool,9620982521
HR0000000003,Vandana Srivastava,vandanasrivastava3@gmail.com,67,F,HR,Rangareddy,9727288325
HR0000000004,Prakash Bajaj,prakashbajaj4@gmail.com,75,O,HR,Mahbubnagar,9845943916
CG0000000005,Lokesh Anand,lokeshanand5@gmail.com,42,M,CG,Gurgaon,9854379302
AS0000000006,Rajesh Kapoor,rajeshkapoor6@gmail.com,67,M,AS,Khammam,9045150978
KA0000000007,Kiran Chaudhary,kiranchaudhary7@gmail.com,28,O,KA,Gurgaon,9391534715
AP0000000008,Meena Chopra,meenachopra8@gmail.com,32,F,AP,Warangal,9318718350
OD0000000009,Akshay Mishra,akshaymishra9@gmail.com,35,O,OD,Adilabad,9155814701
TN0000000010,Sunita Verma,sunitaverma10@gmail.com,56,F,TN,Mumbai,9489959523
WB0000000011,Omkar Tiwari,omkartiwari11@gmail.com,50,O,WB,Bengaluru,9919770648
MZ0000000012,Omkar Yadav,omkaryadav12@gmail.com,53,M,MZ,Mysore,9388755357
JH0000000013,Lakshmi Bajaj,lakshmibajaj13@gmail.com,36,F,JH,Mumbai,9107717591
TR0000000014,Prakash Srivastava,prakashsrivastava14@gmail.com,58,M,TR,Noida,9996676938
UP0000000015,Priya Khanna,priyakhanna15@gmail.com,23,F,UP,Coimbatore,9760368629
KL0000000016,Rekha Srivastava,rekhasrivastava16@gmail.com,43,F,KL,Nizamabad,9678867001
HR0000000017,Usha Dubey,ushadubey17@gmail.com,58,F,HR,Warangal,9036525719
TR0000000018,Anita Mishra,anitamishra18@gmail.com,56,F,TR,Hubli,9796189180
KA0000000019,Praveen Chauhan,praveenchauhan19@gmail.com,54,M,KA,Medak,9210721982
TG0000000020,Prakash Joshi,prakashjoshi20@gmail.com,41,M,TG,Chennai,9585332485
DL0000000021,Sneha Gandhi,snehagandhi21@gmail.com,57,F,DL,Hubli,9937202887
ML0000000022,Nisha Bhatia,nishabhatia22@gmail.com,55,F,ML,Gurgaon,9201349681
BR0000000023,Sonal Tiwari,sonaltiwari23@gmail.com,73,F,BR,Madurai,9242560341
GA0000000024,Kavita Chopra,kavitachopra24@gmail.com,64,F,GA,Chennai,9230667626
AP0000000025,Savita Verma,savitaverma25@gmail.com,69,F,AP,Nizamabad,9736653057
SK0000000026,Sanjay Anand,sanjayanand26@gmail.com,19,O,SK,Nalgonda,9126675155
NL0000000027,Nisha Verma,nishaverma27@gmail.com,41,F,NL,Pune,9910872414
BR0000000028,Meena Kumar,meenakumar28@gmail.com,19,F,BR,Kurnool,9816964652
AR0000000029,Naresh Bhatia,nareshbhatia29@gmail.com,24,M,AR,Delhi,9116974333
NL0000000030,Varun Dubey,varundubey30@gmail.com,53,M,NL,Mumbai,9870932637
GJ0000000031,Umesh Desai,umeshdesai31@gmail.com,19,O,GJ,Khammam,9940913074
CG0000000032,Vijay Chaudhary,vijaychaudhary32@gmail.com,50,M,CG,Nalgonda,9927149284
NL0000000033,Meena Chauhan,meenachauhan33@gmail.com,34,F,NL,Mysore,9664202588
UK0000000034,Deepak Srivastava,deepaksrivastava34@gmail.com,49,M,UK,Visakhapatnam,9662887147
NL0000000035,Ritu Tiwari,ritutiwari35@gmail.com,27,F,NL,Nashik,9589108505
SK0000000036,Akshay Tiwari,akshaytiwari36@gmail.com,62,M,SK,Delhi,9354095602
MH0000000037,Kamlesh Joshi,kamleshjoshi37@gmail.com,41,M,MH,Tirupati,9267637526
UP0000000038,Asha Joshi,ashajoshi38@gmail.com,74,F,UP,Visakhapatnam,9953414313
UP0000000039,Tarun Srivastava,tarunsrivastava39@gmail.com,37,M,UP,Nalgonda,9613547897
KL0000000040,Jagdish Gandhi,jagdishgandhi40@gmail.com,73,M,KL,Coimbatore,9801642637
BR0000000041,Divya Agarwal,divyaagarwal41@gmail.com,55,F,BR,Nalgonda,9010482102
KA0000000042,Arjun Bajaj,arjunbajaj42@gmail.com,50,M,KA,Tirupati,9416029109
SK0000000043,Nisha Desai,nishadesai43@gmail.com,47,F,SK,Gurgaon,9611422839
AS0000000044,Arjun Chopra,arjunchopra44@gmail.com,74,O,AS,Nizamabad,9991854779
BR0000000045,Mahesh Gupta,maheshgupta45@gmail.com,30,O,BR,Gurgaon,9250627491
BR0000000046,Deepak Desai,deepakdesai46@gmail.com,25,M,BR,Guntur,9020405709
KA0000000047,Arjun Gandhi,arjungandhi47@gmail.com,38,M,KA,Karimnagar,9164723105
HP0000000048,Rahul Mishra,rahulmishra48@gmail.com,54,M,HP,Hubli,9188481465
MP0000000049,Sanjay Reddy,sanjayreddy49@gmail.com,31,M,MP,Mysore,9577664292
SK0000000050,Sanjay Srivastava,sanjaysrivastava50@gmail.com,54,M,SK,Vijayawada,9439833865
SK0000000051,Kiran Chopra,kiranchopra51@gmail.com,55,M,SK,Bengaluru,9235356123
CG0000000052,Vandana Bhatia,vandanabhatia52@gmail.com,61,F,CG,Nizamabad,9958408790
MN0000000053,Pratibha Agarwal,pratibhaagarwal53@gmail.com,41,F,MN,Guntur,9103240885
MZ0000000054,Naveen Desai,naveendesai54@gmail.com,48,O,MZ,Rangareddy,9238892841
HP0000000055,Chetan Gandhi,chetangandhi55@gmail.com,34,O,HP,Hyderabad,9243711047
CG0000000056,Vijay Joshi,vijayjoshi56@gmail.com,61,M,CG,Nagpur,9617622806
SK0000000057,Lalit Singh,lalitsingh57@gmail.com,62,M,SK,Nagpur,9145419954
